AREAGEOGRAFICA,Hombres_0,Hombres_1,Hombres_2,Hombres_3,Hombres_4,Hombres_5,Hombres_6,Hombres_7,Hombres_8,Hombres_9,Hombres_10,Hombres_11,Hombres_12,Hombres_13,Hombres_14,Hombres_15,Hombres_16,Hombres_17,Hombres_18,Hombres_19,Hombres_20,Hombres_21,Hombres_22,Hombres_23,Hombres_24,Hombres_25,Hombres_26,Hombres_27,Hombres_28,Hombres_29,Hombres_30,Hombres_31,Hombres_32,Hombres_33,Hombres_34,Hombres_35,Hombres_36,Hombres_37,Hombres_38,Hombres_39,Hombres_40,Hombres_41,Hombres_42,Hombres_43,Hombres_44,Hombres_45,Hombres_46,Hombres_47,Hombres_48,Hombres_49,Hombres_50,Hombres_51,Hombres_52,Hombres_53,Hombres_54,Hombres_55,Hombres_56,Hombres_57,Hombres_58,Hombres_59,Hombres_60,Hombres_61,Hombres_62,Hombres_63,Hombres_64,Hombres_65,Hombres_66,Hombres_67,Hombres_68,Hombres_69,Hombres_70,Hombres_71,Hombres_72,Hombres_73,Hombres_74,Hombres_75,Hombres_76,Hombres_77,Hombres_78,Hombres_79,Hombres_80,Hombres_81,Hombres_82,Hombres_83,Hombres_84,Hombres_85,Hombres_86,Hombres_87,Hombres_88,Hombres_89,Hombres_90,Hombres_91,Hombres_92,Hombres_93,Hombres_94,Hombres_95,Hombres_96,Hombres_97,Hombres_98,Hombres_99,Hombres_100,Mujeres_0,Mujeres_1,Mujeres_2,Mujeres_3,Mujeres_4,Mujeres_5,Mujeres_6,Mujeres_7,Mujeres_8,Mujeres_9,Mujeres_10,Mujeres_11,Mujeres_12,Mujeres_13,Mujeres_14,Mujeres_15,Mujeres_16,Mujeres_17,Mujeres_18,Mujeres_19,Mujeres_20,Mujeres_21,Mujeres_22,Mujeres_23,Mujeres_24,Mujeres_25,Mujeres_26,Mujeres_27,Mujeres_28,Mujeres_29,Mujeres_30,Mujeres_31,Mujeres_32,Mujeres_33,Mujeres_34,Mujeres_35,Mujeres_36,Mujeres_37,Mujeres_38,Mujeres_39,Mujeres_40,Mujeres_41,Mujeres_42,Mujeres_43,Mujeres_44,Mujeres_45,Mujeres_46,Mujeres_47,Mujeres_48,Mujeres_49,Mujeres_50,Mujeres_51,Mujeres_52,Mujeres_53,Mujeres_54,Mujeres_55,Mujeres_56,Mujeres_57,Mujeres_58,Mujeres_59,Mujeres_60,Mujeres_61,Mujeres_62,Mujeres_63,Mujeres_64,Mujeres_65,Mujeres_66,Mujeres_67,Mujeres_68,Mujeres_69,Mujeres_70,Mujeres_71,Mujeres_72,Mujeres_73,Mujeres_74,Mujeres_75,Mujeres_76,Mujeres_77,Mujeres_78,Mujeres_79,Mujeres_80,Mujeres_81,Mujeres_82,Mujeres_83,Mujeres_84,Mujeres_85,Mujeres_86,Mujeres_87,Mujeres_88,Mujeres_89,Mujeres_90,Mujeres_91,Mujeres_92,Mujeres_93,Mujeres_94,Mujeres_95,Mujeres_96,Mujeres_97,Mujeres_98,Mujeres_99,Mujeres_100,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23,Total_24,Total_25,Total_26,Total_27,Total_28,Total_29,Total_30,Total_31,Total_32,Total_33,Total_34,Total_35,Total_36,Total_37,Total_38,Total_39,Total_40,Total_41,Total_42,Total_43,Total_44,Total_45,Total_46,Total_47,Total_48,Total_49,Total_50,Total_51,Total_52,Total_53,Total_54,Total_55,Total_56,Total_57,Total_58,Total_59,Total_60,Total_61,Total_62,Total_63,Total_64,Total_65,Total_66,Total_67,Total_68,Total_69,Total_70,Total_71,Total_72,Total_73,Total_74,Total_75,Total_76,Total_77,Total_78,Total_79,Total_80,Total_81,Total_82,Total_83,Total_84,Total_85,Total_86,Total_87,Total_88,Total_89,Total_90,Total_91,Total_92,Total_93,Total_94,Total_95,Total_96,Total_97,Total_98,Total_99,Total_100,Total Hombres,Total Mujeres,Total general
Cabecera,5907,5993,6091,6201,6332,6468,6603,6740,6892,7018,7131,7459,7860,8013,8306,8396,8466,8505,8504,8473,8405,8312,8211,8105,8000,7923,7839,7773,7709,7659,7611,7562,7513,7488,7456,7407,7353,7276,7161,6971,6757,6531,6298,6109,5948,5825,5716,5632,5580,5544,5487,5431,5349,5251,5128,5027,4925,4827,4730,4658,4602,4528,4433,4326,4203,4063,3910,3743,3551,3334,3108,2885,2684,2514,2346,2184,2025,1849,1667,1498,1334,1196,1073,986,885,790,695,591,501,410,341,276,220,175,140,109,80,64,48,36,103,5539,5631,5722,5838,5965,6101,6233,6375,6520,6652,6777,7101,7489,7651,7849,7956,8030,8086,8107,8108,8082,8053,8015,7973,7940,7916,7903,7902,7909,7926,7950,7962,7975,8009,8049,8043,8034,7999,7902,7738,7549,7346,7157,7004,6897,6815,6742,6682,6648,6612,6558,6496,6413,6303,6166,6030,5917,5795,5691,5615,5554,5488,5379,5255,5120,4960,4800,4620,4429,4206,3960,3716,3483,3296,3103,2913,2706,2500,2281,2080,1872,1697,1550,1430,1302,1193,1058,921,784,661,556,459,371,311,238,194,153,117,87,69,191,11446,11624,11813,12039,12297,12569,12836,13115,13412,13670,13908,14560,15349,15664,16155,16352,16496,16591,16611,16581,16487,16365,16226,16078,15940,15839,15742,15675,15618,15585,15561,15524,15488,15497,15505,15450,15387,15275,15063,14709,14306,13877,13455,13113,12845,12640,12458,12314,12228,12156,12045,11927,11762,11554,11294,11057,10842,10622,10421,10273,10156,10016,9812,9581,9323,9023,8710,8363,7980,7540,7068,6601,6167,5810,5449,5097,4731,4349,3948,3578,3206,2893,2623,2416,2187,1983,1753,1512,1285,1071,897,735,591,486,378,303,233,181,135,105,294,483351,522509,1005860
Centros Poblados y Rural Disperso,7774,7738,7695,7678,7684,7687,7693,7708,7726,7728,7706,7919,8199,8236,8405,8368,8327,8269,8190,8096,7963,7834,7683,7523,7367,7219,7080,6969,6882,6833,6809,6808,6810,6795,6772,6742,6717,6707,6745,6765,6764,6743,6687,6590,6484,6400,6334,6268,6196,6118,6014,5896,5767,5645,5521,5401,5290,5195,5114,5080,5060,5037,4990,4922,4834,4729,4618,4498,4389,4257,4099,3930,3754,3552,3337,3136,2919,2686,2442,2220,1993,1789,1643,1499,1363,1239,1094,943,792,672,545,451,364,292,228,175,141,102,74,53,107,7507,7462,7424,7397,7399,7394,7395,7398,7406,7397,7378,7580,7828,7849,7898,7854,7795,7712,7604,7471,7341,7198,7071,6955,6853,6759,6680,6622,6609,6632,6666,6722,6757,6758,6715,6666,6605,6569,6559,6556,6514,6467,6402,6286,6172,6077,6005,5926,5829,5747,5640,5521,5394,5278,5157,5043,4936,4840,4761,4715,4704,4675,4623,4553,4466,4366,4256,4166,4089,3989,3875,3744,3597,3404,3219,3030,2838,2626,2406,2195,1990,1805,1665,1538,1411,1283,1155,1006,867,736,615,511,419,336,279,215,169,133,99,71,170,15281,15200,15119,15075,15083,15081,15088,15106,15132,15125,15084,15499,16027,16085,16303,16222,16122,15981,15794,15567,15304,15032,14754,14478,14220,13978,13760,13591,13491,13465,13475,13530,13567,13553,13487,13408,13322,13276,13304,13321,13278,13210,13089,12876,12656,12477,12339,12194,12025,11865,11654,11417,11161,10923,10678,10444,10226,10035,9875,9795,9764,9712,9613,9475,9300,9095,8874,8664,8478,8246,7974,7674,7351,6956,6556,6166,5757,5312,4848,4415,3983,3594,3308,3037,2774,2522,2249,1949,1659,1408,1160,962,783,628,507,390,310,235,173,124,277,514324,490445,1004769
Total,13681,13731,13786,13879,14016,14155,14296,14448,14618,14746,14837,15378,16059,16249,16711,16764,16793,16774,16694,16569,16368,16146,15894,15628,15367,15142,14919,14742,14591,14492,14420,14370,14323,14283,14228,14149,14070,13983,13906,13736,13521,13274,12985,12699,12432,12225,12050,11900,11776,11662,11501,11327,11116,10896,10649,10428,10215,10022,9844,9738,9662,9565,9423,9248,9037,8792,8528,8241,7940,7591,7207,6815,6438,6066,5683,5320,4944,4535,4109,3718,3327,2985,2716,2485,2248,2029,1789,1534,1293,1082,886,727,584,467,368,284,221,166,122,89,210,13046,13093,13146,13235,13364,13495,13628,13773,13926,14049,14155,14681,15317,15500,15747,15810,15825,15798,15711,15579,15423,15251,15086,14928,14793,14675,14583,14524,14518,14558,14616,14684,14732,14767,14764,14709,14639,14568,14461,14294,14063,13813,13559,13290,13069,12892,12747,12608,12477,12359,12198,12017,11807,11581,11323,11073,10853,10635,10452,10330,10258,10163,10002,9808,9586,9326,9056,8786,8518,8195,7835,7460,7080,6700,6322,5943,5544,5126,4687,4275,3862,3502,3215,2968,2713,2476,2213,1927,1651,1397,1171,970,790,647,517,409,322,250,186,140,361,26727,26824,26932,27114,27380,27650,27924,28221,28544,28795,28992,30059,31376,31749,32458,32574,32618,32572,32405,32148,31791,31397,30980,30556,30160,29817,29502,29266,29109,29050,29036,29054,29055,29050,28992,28858,28709,28551,28367,28030,27584,27087,26544,25989,25501,25117,24797,24508,24253,24021,23699,23344,22923,22477,21972,21501,21068,20657,20296,20068,19920,19728,19425,19056,18623,18118,17584,17027,16458,15786,15042,14275,13518,12766,12005,11263,10488,9661,8796,7993,7189,6487,5931,5453,4961,4505,4002,3461,2944,2479,2057,1697,1374,1114,885,693,543,416,308,229,571,997675,1012954,2010629
Cabecera,5838,5927,6026,6124,6239,6377,6514,6650,6795,6942,7074,7184,7515,7909,8067,8357,8435,8486,8499,8467,8419,8320,8226,8123,8020,7930,7855,7776,7709,7642,7587,7536,7491,7468,7450,7416,7367,7296,7176,7034,6842,6631,6417,6226,6056,5903,5778,5681,5617,5575,5540,5490,5424,5330,5218,5103,4995,4886,4779,4670,4596,4530,4454,4359,4250,4122,3976,3815,3625,3425,3209,2985,2775,2598,2433,2262,2105,1941,1765,1581,1416,1259,1106,1003,902,800,713,616,525,428,359,286,229,181,144,112,80,65,48,36,99,5465,5558,5650,5755,5868,6005,6137,6276,6419,6566,6700,6822,7152,7535,7700,7896,7985,8046,8077,8086,8063,8040,8000,7959,7921,7896,7878,7866,7850,7847,7866,7877,7903,7947,8010,8036,8036,8003,7924,7792,7638,7444,7256,7110,6979,6872,6783,6720,6681,6639,6607,6557,6488,6387,6266,6126,5996,5871,5746,5636,5546,5491,5416,5307,5185,5042,4886,4702,4508,4308,4076,3835,3601,3412,3215,3023,2824,2625,2414,2201,1991,1790,1605,1464,1337,1217,1093,966,828,700,587,485,394,324,250,202,158,120,91,70,189,11303,11485,11676,11879,12107,12382,12651,12926,13214,13508,13774,14006,14667,15444,15767,16253,16420,16532,16576,16553,16482,16360,16226,16082,15941,15826,15733,15642,15559,15489,15453,15413,15394,15415,15460,15452,15403,15299,15100,14826,14480,14075,13673,13336,13035,12775,12561,12401,12298,12214,12147,12047,11912,11717,11484,11229,10991,10757,10525,10306,10142,10021,9870,9666,9435,9164,8862,8517,8133,7733,7285,6820,6376,6010,5648,5285,4929,4566,4179,3782,3407,3049,2711,2467,2239,2017,1806,1582,1353,1128,946,771,623,505,394,314,238,185,139,106,288,484640,523692,1008332
Centros Poblados y Rural Disperso,7709,7676,7638,7606,7594,7603,7613,7627,7641,7668,7669,7652,7864,8153,8187,8354,8321,8276,8209,8116,7999,7865,7718,7562,7406,7247,7115,6992,6902,6837,6809,6804,6809,6797,6785,6771,6748,6745,6779,6845,6869,6866,6833,6735,6619,6505,6422,6341,6255,6171,6090,5977,5865,5745,5633,5498,5381,5273,5182,5106,5069,5054,5027,4973,4902,4813,4708,4598,4493,4384,4244,4077,3891,3683,3472,3256,3044,2828,2592,2351,2121,1890,1698,1529,1394,1257,1124,985,832,703,574,468,380,302,235,180,141,104,75,53,103,7453,7413,7378,7337,7323,7324,7328,7330,7337,7346,7339,7325,7522,7777,7795,7843,7798,7720,7622,7495,7367,7229,7099,6985,6877,6782,6697,6630,6599,6605,6634,6689,6736,6745,6722,6698,6644,6609,6616,6641,6628,6591,6528,6418,6280,6163,6076,5993,5892,5803,5715,5603,5488,5377,5271,5151,5029,4931,4836,4760,4725,4704,4682,4624,4548,4465,4356,4265,4184,4108,4011,3887,3739,3544,3355,3163,2978,2774,2562,2334,2128,1915,1735,1584,1456,1317,1199,1063,921,784,653,543,447,352,295,227,175,137,104,72,170,15162,15089,15016,14943,14917,14927,14941,14957,14978,15014,15008,14977,15386,15930,15982,16197,16119,15996,15831,15611,15366,15094,14817,14547,14283,14029,13812,13622,13501,13442,13443,13493,13545,13542,13507,13469,13392,13354,13395,13486,13497,13457,13361,13153,12899,12668,12498,12334,12147,11974,11805,11580,11353,11122,10904,10649,10410,10204,10018,9866,9794,9758,9709,9597,9450,9278,9064,8863,8677,8492,8255,7964,7630,7227,6827,6419,6022,5602,5154,4685,4249,3805,3433,3113,2850,2574,2323,2048,1753,1487,1227,1011,827,654,530,407,316,241,179,125,273,517684,494227,1011911
Total,13547,13603,13664,13730,13833,13980,14127,14277,14436,14610,14743,14836,15379,16062,16254,16711,16756,16762,16708,16583,16418,16185,15944,15685,15426,15177,14970,14768,14611,14479,14396,14340,14300,14265,14235,14187,14115,14041,13955,13879,13711,13497,13250,12961,12675,12408,12200,12022,11872,11746,11630,11467,11289,11075,10851,10601,10376,10159,9961,9776,9665,9584,9481,9332,9152,8935,8684,8413,8118,7809,7453,7062,6666,6281,5905,5518,5149,4769,4357,3932,3537,3149,2804,2532,2296,2057,1837,1601,1357,1131,933,754,609,483,379,292,221,169,123,89,202,12918,12971,13028,13092,13191,13329,13465,13606,13756,13912,14039,14147,14674,15312,15495,15739,15783,15766,15699,15581,15430,15269,15099,14944,14798,14678,14575,14496,14449,14452,14500,14566,14639,14692,14732,14734,14680,14612,14540,14433,14266,14035,13784,13528,13259,13035,12859,12713,12573,12442,12322,12160,11976,11764,11537,11277,11025,10802,10582,10396,10271,10195,10098,9931,9733,9507,9242,8967,8692,8416,8087,7722,7340,6956,6570,6186,5802,5399,4976,4535,4119,3705,3340,3048,2793,2534,2292,2029,1749,1484,1240,1028,841,676,545,429,333,257,195,142,359,26465,26574,26692,26822,27024,27309,27592,27883,28192,28522,28782,28983,30053,31374,31749,32450,32539,32528,32407,32164,31848,31454,31043,30629,30224,29855,29545,29264,29060,28931,28896,28906,28939,28957,28967,28921,28795,28653,28495,28312,27977,27532,27034,26489,25934,25443,25059,24735,24445,24188,23952,23627,23265,22839,22388,21878,21401,20961,20543,20172,19936,19779,19579,19263,18885,18442,17926,17380,16810,16225,15540,14784,14006,13237,12475,11704,10951,10168,9333,8467,7656,6854,6144,5580,5089,4591,4129,3630,3106,2615,2173,1782,1450,1159,924,721,554,426,318,231,561,1002324,1017919,2020243
Cabecera,5774,5859,5959,6059,6161,6282,6423,6559,6703,6844,6997,7127,7238,7562,7961,8116,8395,8455,8480,8463,8413,8335,8234,8139,8038,7951,7864,7792,7711,7642,7570,7512,7465,7445,7428,7408,7374,7307,7195,7050,6903,6713,6515,6343,6172,6009,5856,5744,5666,5612,5572,5544,5484,5405,5297,5193,5070,4956,4838,4719,4608,4525,4456,4380,4283,4168,4034,3879,3695,3496,3297,3082,2871,2687,2516,2347,2181,2019,1854,1674,1496,1336,1165,1034,918,816,721,631,547,448,375,300,237,188,149,115,82,64,49,36,96,5395,5485,5578,5683,5784,5907,6042,6181,6320,6465,6614,6744,6871,7196,7584,7746,7926,8000,8038,8058,8043,8022,7988,7945,7908,7879,7859,7841,7814,7789,7788,7792,7818,7874,7947,7995,8026,8003,7927,7814,7691,7530,7352,7209,7084,6953,6840,6761,6719,6672,6634,6606,6549,6462,6349,6226,6091,5950,5821,5692,5568,5484,5419,5345,5237,5107,4968,4788,4589,4385,4176,3948,3718,3528,3330,3134,2932,2741,2537,2331,2107,1904,1694,1518,1370,1250,1115,999,869,740,622,511,416,343,261,212,165,123,93,72,189,11169,11344,11537,11742,11945,12189,12465,12740,13023,13309,13611,13871,14109,14758,15545,15862,16321,16455,16518,16521,16456,16357,16222,16084,15946,15830,15723,15633,15525,15431,15358,15304,15283,15319,15375,15403,15400,15310,15122,14864,14594,14243,13867,13552,13256,12962,12696,12505,12385,12284,12206,12150,12033,11867,11646,11419,11161,10906,10659,10411,10176,10009,9875,9725,9520,9275,9002,8667,8284,7881,7473,7030,6589,6215,5846,5481,5113,4760,4391,4005,3603,3240,2859,2552,2288,2066,1836,1630,1416,1188,997,811,653,531,410,327,247,187,142,108,285,485756,524718,1010474
Centros Poblados y Rural Disperso,7649,7612,7577,7550,7524,7515,7531,7548,7562,7584,7609,7616,7599,7820,8105,8139,8308,8270,8216,8137,8019,7903,7750,7599,7446,7288,7144,7028,6926,6858,6813,6802,6805,6795,6786,6784,6775,6776,6817,6880,6949,6973,6958,6883,6766,6641,6527,6430,6328,6230,6142,6052,5947,5843,5735,5611,5479,5364,5261,5175,5096,5063,5045,5011,4954,4881,4792,4690,4594,4490,4373,4223,4038,3820,3600,3389,3162,2951,2730,2496,2248,2012,1794,1581,1423,1286,1141,1014,869,739,601,494,395,315,243,186,145,104,77,53,100,7405,7360,7329,7292,7264,7249,7259,7262,7269,7278,7288,7287,7270,7473,7724,7741,7788,7723,7630,7512,7392,7256,7131,7013,6907,6807,6720,6648,6607,6594,6607,6657,6702,6723,6708,6703,6676,6648,6657,6698,6713,6707,6653,6545,6412,6273,6162,6064,5960,5865,5772,5678,5571,5472,5371,5265,5138,5026,4927,4835,4770,4725,4711,4684,4620,4547,4455,4366,4283,4205,4131,4023,3883,3684,3494,3297,3110,2912,2707,2486,2265,2049,1841,1650,1500,1359,1231,1104,973,832,696,577,476,376,309,239,184,143,107,76,170,15054,14972,14906,14842,14788,14764,14790,14810,14831,14862,14897,14903,14869,15293,15829,15880,16096,15993,15846,15649,15411,15159,14881,14612,14353,14095,13864,13676,13533,13452,13420,13459,13507,13518,13494,13487,13451,13424,13474,13578,13662,13680,13611,13428,13178,12914,12689,12494,12288,12095,11914,11730,11518,11315,11106,10876,10617,10390,10188,10010,9866,9788,9756,9695,9574,9428,9247,9056,8877,8695,8504,8246,7921,7504,7094,6686,6272,5863,5437,4982,4513,4061,3635,3231,2923,2645,2372,2118,1842,1571,1297,1071,871,691,552,425,329,247,184,129,270,520977,497916,1018893
Total,13423,13471,13536,13609,13685,13797,13954,14107,14265,14428,14606,14743,14837,15382,16066,16255,16703,16725,16696,16600,16432,16238,15984,15738,15484,15239,15008,14820,14637,14500,14383,14314,14270,14240,14214,14192,14149,14083,14012,13930,13852,13686,13473,13226,12938,12650,12383,12174,11994,11842,11714,11596,11431,11248,11032,10804,10549,10320,10099,9894,9704,9588,9501,9391,9237,9049,8826,8569,8289,7986,7670,7305,6909,6507,6116,5736,5343,4970,4584,4170,3744,3348,2959,2615,2341,2102,1862,1645,1416,1187,976,794,632,503,392,301,227,168,126,89,196,12800,12845,12907,12975,13048,13156,13301,13443,13589,13743,13902,14031,14141,14669,15308,15487,15714,15723,15668,15570,15435,15278,15119,14958,14815,14686,14579,14489,14421,14383,14395,14449,14520,14597,14655,14698,14702,14651,14584,14512,14404,14237,14005,13754,13496,13226,13002,12825,12679,12537,12406,12284,12120,11934,11720,11491,11229,10976,10748,10527,10338,10209,10130,10029,9857,9654,9423,9154,8872,8590,8307,7971,7601,7212,6824,6431,6042,5653,5244,4817,4372,3953,3535,3168,2870,2609,2346,2103,1842,1572,1318,1088,892,719,570,451,349,266,200,148,359,26223,26316,26443,26584,26733,26953,27255,27550,27854,28171,28508,28774,28978,30051,31374,31742,32417,32448,32364,32170,31867,31516,31103,30696,30299,29925,29587,29309,29058,28883,28778,28763,28790,28837,28869,28890,28851,28734,28596,28442,28256,27923,27478,26980,26434,25876,25385,24999,24673,24379,24120,23880,23551,23182,22752,22295,21778,21296,20847,20421,20042,19797,19631,19420,19094,18703,18249,17723,17161,16576,15977,15276,14510,13719,12940,12167,11385,10623,9828,8987,8116,7301,6494,5783,5211,4711,4208,3748,3258,2759,2294,1882,1524,1222,962,752,576,434,326,237,555,1006733,1022634,2029367
Cabecera,5715,5794,5891,5991,6095,6204,6327,6468,6612,6751,6898,7048,7181,7283,7611,8008,8154,8415,8448,8445,8410,8330,8250,8148,8055,7970,7886,7802,7728,7643,7570,7494,7439,7418,7403,7385,7365,7313,7205,7067,6918,6772,6596,6440,6288,6125,5961,5821,5728,5662,5609,5575,5538,5465,5371,5272,5160,5031,4908,4777,4657,4536,4451,4383,4303,4201,4079,3936,3759,3565,3367,3168,2965,2781,2603,2427,2264,2092,1929,1759,1584,1412,1238,1090,947,831,736,639,561,467,393,314,249,195,155,119,84,66,48,37,94,5330,5415,5504,5611,5713,5823,5943,6085,6224,6366,6512,6657,6793,6914,7243,7630,7776,7943,7993,8019,8016,8003,7972,7934,7895,7867,7843,7822,7789,7754,7729,7715,7734,7789,7872,7930,7984,7992,7926,7816,7713,7582,7438,7304,7182,7060,6921,6818,6761,6711,6667,6634,6598,6523,6425,6308,6191,6044,5901,5767,5624,5506,5412,5348,5275,5159,5032,4868,4673,4464,4251,4046,3827,3644,3444,3248,3041,2847,2651,2450,2232,2017,1804,1602,1420,1281,1145,1020,898,777,657,542,439,363,277,221,173,129,96,74,190,11045,11209,11395,11602,11808,12027,12270,12553,12836,13117,13410,13705,13974,14197,14854,15638,15930,16358,16441,16464,16426,16333,16222,16082,15950,15837,15729,15624,15517,15397,15299,15209,15173,15207,15275,15315,15349,15305,15131,14883,14631,14354,14034,13744,13470,13185,12882,12639,12489,12373,12276,12209,12136,11988,11796,11580,11351,11075,10809,10544,10281,10042,9863,9731,9578,9360,9111,8804,8432,8029,7618,7214,6792,6425,6047,5675,5305,4939,4580,4209,3816,3429,3042,2692,2367,2112,1881,1659,1459,1244,1050,856,688,558,432,340,257,195,144,111,284,486721,525591,1012312
Centros Poblados y Rural Disperso,7595,7554,7515,7490,7469,7446,7444,7467,7483,7507,7526,7556,7564,7557,7774,8058,8095,8258,8211,8144,8041,7923,7789,7632,7484,7328,7186,7058,6963,6881,6835,6807,6803,6791,6784,6783,6788,6801,6847,6918,6987,7054,7065,7009,6914,6789,6664,6535,6418,6304,6201,6105,6022,5927,5833,5714,5593,5463,5353,5256,5166,5092,5055,5031,4993,4934,4860,4774,4686,4592,4478,4353,4183,3966,3736,3516,3293,3067,2851,2630,2389,2132,1911,1671,1471,1313,1167,1029,895,771,631,517,416,327,253,193,150,107,76,54,98,7361,7312,7278,7244,7219,7191,7184,7195,7203,7210,7221,7237,7232,7223,7422,7671,7686,7713,7633,7521,7410,7281,7159,7045,6936,6837,6746,6671,6625,6603,6596,6629,6669,6689,6684,6689,6680,6679,6695,6739,6771,6792,6769,6671,6539,6405,6272,6152,6030,5933,5834,5734,5646,5556,5466,5366,5253,5135,5023,4926,4845,4771,4733,4713,4681,4620,4538,4465,4387,4305,4230,4145,4020,3827,3633,3436,3243,3041,2843,2628,2414,2181,1970,1752,1564,1401,1271,1134,1011,879,739,615,505,399,329,251,194,149,112,77,172,14956,14866,14793,14734,14688,14637,14628,14662,14686,14717,14747,14793,14796,14780,15196,15729,15781,15971,15844,15665,15451,15204,14948,14677,14420,14165,13932,13729,13588,13484,13431,13436,13472,13480,13468,13472,13468,13480,13542,13657,13758,13846,13834,13680,13453,13194,12936,12687,12448,12237,12035,11839,11668,11483,11299,11080,10846,10598,10376,10182,10011,9863,9788,9744,9674,9554,9398,9239,9073,8897,8708,8498,8203,7793,7369,6952,6536,6108,5694,5258,4803,4313,3881,3423,3035,2714,2438,2163,1906,1650,1370,1132,921,726,582,444,344,256,188,131,270,524188,501514,1025702
Total,13310,13348,13406,13481,13564,13650,13771,13935,14095,14258,14424,14604,14745,14840,15385,16066,16249,16673,16659,16589,16451,16253,16039,15780,15539,15298,15072,14860,14691,14524,14405,14301,14242,14209,14187,14168,14153,14114,14052,13985,13905,13826,13661,13449,13202,12914,12625,12356,12146,11966,11810,11680,11560,11392,11204,10986,10753,10494,10261,10033,9823,9628,9506,9414,9296,9135,8939,8710,8445,8157,7845,7521,7148,6747,6339,5943,5557,5159,4780,4389,3973,3544,3149,2761,2418,2144,1903,1668,1456,1238,1024,831,665,522,408,312,234,173,124,91,192,12691,12727,12782,12855,12932,13014,13127,13280,13427,13576,13733,13894,14025,14137,14665,15301,15462,15656,15626,15540,15426,15284,15131,14979,14831,14704,14589,14493,14414,14357,14325,14344,14403,14478,14556,14619,14664,14671,14621,14555,14484,14374,14207,13975,13721,13465,13193,12970,12791,12644,12501,12368,12244,12079,11891,11674,11444,11179,10924,10693,10469,10277,10145,10061,9956,9779,9570,9333,9060,8769,8481,8191,7847,7471,7077,6684,6284,5888,5494,5078,4646,4198,3774,3354,2984,2682,2416,2154,1909,1656,1396,1157,944,762,606,472,367,278,208,151,362,26001,26075,26188,26336,26496,26664,26898,27215,27522,27834,28157,28498,28770,28977,30050,31367,31711,32329,32285,32129,31877,31537,31170,30759,30370,30002,29661,29353,29105,28881,28730,28645,28645,28687,28743,28787,28817,28785,28673,28540,28389,28200,27868,27424,26923,26379,25818,25326,24937,24610,24311,24048,23804,23471,23095,22660,22197,21673,21185,20726,20292,19905,19651,19475,19252,18914,18509,18043,17505,16926,16326,15712,14995,14218,13416,12627,11841,11047,10274,9467,8619,7742,6923,6115,5402,4826,4319,3822,3365,2894,2420,1988,1609,1284,1014,784,601,451,332,242,554,1010909,1027105,2038014
Total,13187,13235,13284,13353,13437,13529,13624,13752,13923,14087,14254,14423,14605,14748,14843,15386,16059,16222,16609,16552,16441,16274,16056,15837,15583,15355,15131,14925,14731,14580,14429,14323,14228,14179,14154,14139,14126,14117,14081,14022,13959,13880,13800,13637,13424,13178,12889,12597,12329,12118,11935,11776,11644,11521,11349,11158,10936,10699,10434,10197,9962,9747,9548,9420,9321,9195,9027,8822,8587,8311,8016,7694,7362,6982,6576,6162,5759,5368,4964,4578,4183,3764,3335,2939,2554,2214,1944,1705,1476,1273,1069,871,697,549,424,323,243,178,128,89,191,12573,12619,12665,12729,12813,12898,12987,13105,13264,13414,13566,13726,13888,14020,14134,14658,15277,15405,15560,15501,15396,15277,15138,14994,14853,14720,14608,14504,14419,14349,14299,14274,14297,14360,14438,14517,14583,14630,14640,14591,14525,14455,14343,14177,13943,13689,13434,13161,12936,12757,12609,12464,12328,12204,12036,11846,11627,11394,11128,10869,10635,10409,10213,10078,9989,9878,9696,9480,9238,8957,8660,8364,8066,7716,7333,6934,6533,6127,5724,5322,4900,4463,4010,3582,3161,2789,2485,2218,1957,1715,1472,1226,1003,807,642,501,384,292,217,158,365,25760,25854,25949,26082,26250,26427,26611,26857,27187,27501,27820,28149,28493,28768,28977,30044,31336,31627,32169,32053,31837,31551,31194,30831,30436,30075,29739,29429,29150,28929,28728,28597,28525,28539,28592,28656,28709,28747,28721,28613,28484,28335,28143,27814,27367,26867,26323,25758,25265,24875,24544,24240,23972,23725,23385,23004,22563,22093,21562,21066,20597,20156,19761,19498,19310,19073,18723,18302,17825,17268,16676,16058,15428,14698,13909,13096,12292,11495,10688,9900,9083,8227,7345,6521,5715,5003,4429,3923,3433,2988,2541,2097,1700,1356,1066,824,627,470,345,247,556,1014833,1031313,2046146
